recovery_id,tag_code,tag_status,Vessel_type,Cruise_no,Haul_or_Delivery_no,species_name_by_observer,Missing_Fins,sample:in_or_out?,recovery_date,run_year,Lat,latmin,Hem,Long,Longm,Bear,Area,sex,gonad_m,length,weight,Other_comments,Date_entered,Plant_recovery,detection_method,sampling_site,Date_snout_sent_to_ABL,Detected_with,sampling_,fishery,gear_name,Report_code,New_data,length_code,length_type,weight_code,weight_type,recorded_mark,location_type,hssector,specimen_number,ADFG_stat_area,Initials_CWT_reade
2018170028,43992,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180606,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,690,4.5,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,17, 515700 (50%) /     ,                    
2018170027,211166,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180525,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,530,2,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,12, 495730 (80%) /     ,                    
2018170026,211167,1, Rockfish          ,                    ,                               , Chinook                  , None             , in                      ,20180525,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,510,1.7,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,13, 495730 (80%) /     ,                    
2018170025, 09BLANK         ,9, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180526,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,520,1.6, Agency 09 tag                                                     ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,11,495730,                    
2018170024,43767,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180525,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,800,7.5,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,14, 495730 (80%) /     ,                    
2018170023,211168,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180602,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,450,1.1,                                                                   ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,15, 495730 (50%) /     ,                    
2018170022,91052,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180606,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,500,1.5, 1.5 length                                                        ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,16, 505730 (50%) /     ,                    
2018170021,91064,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180914,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,620,3, 1.5 length                                                        ,20190321, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,19,495730,                    
2018170020,43596,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180928,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,740,5.4,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,20," 485730 (90%),      ",                    
2018170019,211167,1, Rockfish          ,                    ,                               , Chinook                  , None             , in                      ,20180504,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,510,1.5,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,2," 505800, 495800     ",                    
2018170018,55894,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180504,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,500,1.5,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,3,485730,                    
2018170017,91178,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181106,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,480,1.4, 1.5 length                                                        ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,27," 515700 (76%),      ",                    
2018170016,637144,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181024,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,450,1,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,22,505800,                    
2018170015,636806,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20180520,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,620,2.3,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,9," 495730, 505700,    ",                    
2018170014,211166,1, Rockfish          ,                    ,                               , chinook                  , Ad               , in                      ,20181024,2018,             ,        ,          ,        ,       ,             ,630, F      ,         ,600,3.1,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,21,505800,                    
2018170013,636953,1, Rockfish          ,                    ,                               , chinook                  , None             , in                      ,20180523,2018,             ,        ,          ,        ,       ,             ,620, M      ,         ,540,2.1,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,10," 545602, 515700,    ",                    
2018170012,636965,1, Rockfish          ,                    ,                               , chinook                  , Ad               , in                      ,20180520,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,530,1.8,                                                                   ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,8, 495730 (50%)       ,                    
2018170011,91178,1, Rockfish          ,                    ,                               , Chinook                  , Ad               , in                      ,20181104,2018,             ,        ,          ,        ,       ,             ,630, M      ,         ,470,1.3, 1.5 length                                                        ,20190130, N                 , E                , hsrf                 ,                                    ,               ,           ,812, trawl        , REP19            , N                  ,                    ,                    ,                    ,                    ,                    ,                    ,3,26,495730,                    
