,state/prov,F/M,location_code,location_type,name,latitude,longitude,psc_basin,psc_region,description,rmpc_region,rmpc_basin,Rec area-W,Rec area.Shelton,Rec area.Shelton2,Rec area.Shelton3,Rec.area.Sullaway.Shelton,Rec.area.GS.nmfs
9033,3,M,3M103,1,STILLAGUAMISH/SNOHOM,NA,NA,STILG,STIL,STILLAGUAMISH/ SNOHOMISH TERMINAL  (8A 8D) - COMMERCIAL,STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9034,3,M,3M10308  A,1,SARATOGA PASSAGE  8A,NA,NA,SNOH,STIL,SARATOGA PASSAGE (8A),STIL,SNOH,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9035,3,M,3M10308  B,1,PORT SUSAN        8B,NA,NA,STILG,STIL,PORT SUSAN   (OLD CODE - NOW INCLUDED IN 8A),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9036,3,M,3M10308  C,1,PORT GARDNER      8C,NA,NA,STILG,STIL,PORT GARDNER (OLD CODE - NOW INCLUDED IN 8A),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9037,3,M,3M10308  D,1,TULALIP BAY       8D,NA,NA,STILG,STIL,TULALIP BAY      (8D),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9038,3,M,3M10308X1,1,MARINE AREA 8A + 8D,NA,NA,STILG,STIL,COMBINATION OF MARINE AREA 8A & 8D,STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9039,3,M,3M10308X1  X8A,1,MARINE AREA 8A & 8D,NA,NA,STILG,STIL,MARINE AREA 8A COMBINED WITH MARINE AREA 8D,STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9040,3,M,3M10308X1  X8D,1,MARINE AREA 8D & 8A,NA,NA,STILG,STIL,MARINE AREA 8D COMBINED WITH MARINE AREA 8A,STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9041,3,M,3M10308X2,1,MARINE AREA 8A + 8C,NA,NA,STILG,STIL,COMBINATION OF MARINE AREA 8A & 8C  (ONLY USED PRIOR TO 1984),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9042,3,M,3M10308X2  X8A,1,MARINE AREA 8A & 8C,NA,NA,STILG,STIL,MARINE AREA 8A COMBINED WITH MARINE AREA 8C (ONLY USED PRIOR TO 1984),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9043,3,M,3M10308X2  X8C,1,MARINE AREA 8C & 8A,NA,NA,STILG,STIL,MARINE AREA 8C COMBINED WITH MARINE AREA 8A (ONLY USED PRIOR TO 1984),STIL,STILG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9044,3,M,3M104,1,HOOD CANAL - GENERAL,NA,NA,HOODG,HOOD,HOOD CANAL -GENERAL (9A 12 12A-12D)-COMMERCIAL,HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9045,3,M,3M10409  888401 H,1,PORT GAMBLE BAY PENS,NA,NA,WKIT,HOOD,PORT GAMBLE BAY SEA PENS  (PORT GAMBLE TRIBE),HOOD,WKIT,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9046,3,M,3M10409  A,1,PORT GAMBLE BAY   9A,NA,NA,WKIT,HOOD,PORT GAMBLE BAY ( 9A),HOOD,WKIT,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9047,3,M,3M10412,1,HOOD CANAL (12),NA,NA,HOODG,HOOD,HOOD CANAL      (12 ),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9048,3,M,3M10412  160558 H,1,WALCOTT SLOUGH - FWS,NA,NA,SKDO,HOOD,WALCOTT SLOUGH - USFWS BROOD COLLECTION SITE,HOOD,SKDO,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9049,3,M,3M10412  888402 H,1,QUILCENE BAY SEA PEN,NA,NA,TPDB,HOOD,QUILCENE BAY SEA PENS  (PORT GAMBLE TRIBE),HOOD,TPDB,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9050,3,M,3M10412  A,1,QUILCENE + DABOB 12A,NA,NA,TPDB,HOOD,QUILCENE BAY  DABOB BAY   (12A),HOOD,TPDB,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
9051,3,M,3M10412  B,1,CNTRL HOOD CANAL 12B,NA,NA,HOODG,HOOD,CENTRAL HOOD CANAL        (12B),HOOD,HOODG,PUSO,PUSO,PUSO.IN,PUSO.IN,PUSO.IN,PUSO.IN
