OWNER NAME,NMFS ID,AFA COOP ID,COOP NAME,VESSEL NAME,ADFG,CG NUM,VESSEL AFA PERMIT,ADDRESS 1,ADDRESS 2,CITY,State,Zip
"BERING ROSE, ALASKA LLC",2840,105,UNALASKA FLEET COOPERATIVE (ALYESKA),BERING ROSE,40638,624325,516,PO BOX 31091,"SEATTLE, WA 98103",SEATTLE,WA,98103
"DESTINATION, ALASKA LLC",188,105,UNALASKA FLEET COOPERATIVE (ALYESKA),DESTINATION,60655,571879,3988,PO BOX 31091,"SEATTLE, WA 98103",SEATTLE,WA,98103
GREAT PACIFIC ALASKA LLC,239,105,UNALASKA FLEET COOPERATIVE (ALYESKA),GREAT PACIFIC,37660,608458,511,PO BOX 31091,"SEATTLE, WA 98103",SEATTLE,WA,98103
"LESLIE LEE, INC.",345,105,UNALASKA FLEET COOPERATIVE (ALYESKA),LESLIE LEE,56119,584873,1234,PO BOX 2276,"NEWPORT, OR 97365",NEWPORT,OR,97365
"MS AMY AND MESSIAH, ALASKA LLC",32368,105,UNALASKA FLEET COOPERATIVE (ALYESKA),MESSIAH,66196,610150,6081,PO BOX 31091,"SEATTLE, WA 68103",SEATTLE,WA,68103
DONA MARTITA LLC,29172,105,UNALASKA FLEET COOPERATIVE (ALYESKA),MORNING STAR,38431,610393,208,20308 DAYTON AVE N,"SHORELINE, WA 98133",SHORELINE,WA,98133
"SEA WOLF, ALASKA LLC",2644,105,UNALASKA FLEET COOPERATIVE (ALYESKA),SEA WOLF,35957,609823,1652,PO BOX 31091,"SEATTLE, WA 98103",SEATTLE,WA,98103
"FUTURA FISHERIES, INC.",223,105,UNALASKA FLEET COOPERATIVE (ALYESKA),VANGUARD,39946,617802,519,PO BOX 37,"KODIAK, AK 99615",KODIAK,AK,99615
"F/V WESTERN DAWN, LLC",12753,105,UNALASKA FLEET COOPERATIVE (ALYESKA),WESTERN DAWN,22294,524423,134,12711 8TH NW,"SEATTLE, WA 98177",SEATTLE,WA,98177
"RONDYS, INC.",531,106,UNISEA FLEET COOPERATIVE,ALSEA,40749,626517,2811,PO BOX 37,"KODIAK, AK 99615",KODIAK,AK,99615
"RONDYS, INC.",531,106,UNISEA FLEET COOPERATIVE,ARGOSY,38547,611365,2810,PO BOX 37,"KODIAK, AK 99615",KODIAK,AK,99615
AURIGA/AURORA GENERAL PARTNERSHIP,80,106,UNISEA FLEET COOPERATIVE,AURIGA,56153,639547,2889,2415 T AVE #208,"ANACORTES, WA 98221",ANACORTES,WA,98221
AURIGA/AURORA GENERAL PARTNERSHIP,80,106,UNISEA FLEET COOPERATIVE,AURORA,56154,636919,2888,2415 T AVE #208,"ANACORTES, WA 98221",ANACORTES,WA,98221
DONA MARTITA LLC,29172,106,UNISEA FLEET COOPERATIVE,DEFENDER,56676,554030,3257,20308 DAYTON AVE N,"SHORELINE, WA 98133",SHORELINE,WA,98133
"FIERCE ALLEGIANCE, LLC",34204,106,UNISEA FLEET COOPERATIVE,FIERCE ALLEGIANCE,55111,588849,4133,7215 - 156TH ST SOUTHWEST,"EDMONDS, WA 98026",EDMONDS,WA,98026
"MARGUN ENTERPRISES, LLC",29447,106,UNISEA FLEET COOPERATIVE,MAR GUN,12110,525608,524,101 NICKERSON STREET SUITE 340,"SEATTLE, WA 98109",SEATTLE,WA,98109
"FISHING VESSEL MORNING STAR, LLC",89180,106,UNISEA FLEET COOPERATIVE,MORNING STAR,70323,1037811,6204,7215 156TH STREET SW,"EDMONDS, WA 98026",EDMONDS,WA,98026
F/V NORDIC STAR LLC,32122,106,UNISEA FLEET COOPERATIVE,NORDIC STAR,961,584684,428,2157 N NORTHLAKE WAY SUITE 210,"SEATTLE, WA 98103",SEATTLE,WA,98103
"FY FISHERIES, INC.",224,106,UNISEA FLEET COOPERATIVE,SEADAWN,77,548685,2059,PO BOX 352,"NEWPORT, OR 97365",NEWPORT,OR,97365
"F/V STARFISH, LLC",89255,106,UNISEA FLEET COOPERATIVE,STAR FISH,12,561651,1167,7215 156TH STREET SW,"EDMONDS, WA 98026",EDMONDS,WA,98026
"STARLITE FISHERIES, LLC",35902,106,UNISEA FLEET COOPERATIVE,STARLITE,34931,597065,1998,7215 156TH SW,"EDMONDS, WA 98026",EDMONDS,WA,98026
"STARWARD FISHERIES, LLC",36086,106,UNISEA FLEET COOPERATIVE,STARWARD,39197,617807,417,7215 156TH SW,"EDMONDS, WA 98026",EDMONDS,WA,98026
DONA MARTITA LLC,29172,107,WESTWARD FLEET COOPERATIVE,ALASKAN DEFENDER,41312,640130,425,20308 DAYTON AVE N,"SHORELINE, WA 98133",SHORELINE,WA,98133
DONA MARTITA LLC,29172,107,WESTWARD FLEET COOPERATIVE,BERING DEFENDER,51672,651751,2047,20308 DAYTON AVE N,"SHORELINE, WA 98133",SHORELINE,WA,98133
"ALASKAN COMMAND, LLC",3120,107,WESTWARD FLEET COOPERATIVE,CAITLIN ANN,59779,960836,3800,413 3RD AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
OCEAN DYNASTY LIMITED PARTNERSHIP,448,107,WESTWARD FLEET COOPERATIVE,CHELSEA K,62906,976753,4620,413 3RD AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
DONA MARTITA LLC,29172,107,WESTWARD FLEET COOPERATIVE,DEFENDER,78139,1194562,34279,20308 DAYTON AVE N,"SHORELINE, WA 98133",SHORELINE,WA,98133
"PACIFIC KNIGHT, L.L.C.",2714,107,WESTWARD FLEET COOPERATIVE,PACIFIC PRINCE,61450,697280,4194,413 3RD AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
VIKING LIMITED PARTNERSHIP,2636,107,WESTWARD FLEET COOPERATIVE,VIKING,8,565017,1222,413 3RD AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
WESTWARD L. P.,665,107,WESTWARD FLEET COOPERATIVE,WESTWARD I,53247,615165,1650,413 3RD AVE W,"SEATTLE, WA 98119",SEATTLE,WA,98119
"GLACIER FISH CO., LLC",431,200,AFA CATCHER PROCESSORS,ALASKA OCEAN,60407,637856,3794,2320 WEST COMMODORE WAY STE 200,"SEATTLE, WA 98199",SEATTLE,WA,98199
"AMERICAN DYNASTY, LLC",13223,200,AFA CATCHER PROCESSORS,AMERICAN DYNASTY,59378,951307,3681,"2025 1ST AVE, STE 900","SEATTLE, WA 98121",SEATTLE,WA,98121
TRIDENT SEAFOODS CORPORATION,8184,200,AFA CATCHER PROCESSORS,AMERICAN ENTERPRISE,54836,594803,2760,ATTN ALASKA SUPPORT,5303 SHILSHOLE AVE NW,SEATTLE,WA,98107
