"","ID","ocean.region","brood_year","release_year","Median.month.release","N.released","n_month","m.median","m.mean","m.sd","X2.5.","X5.","X10.","X25.","X50.","X75.","X90.","X95.","X97.5."
"81","Irongate","NCA",2006,2007,5,313169,10,3.18437102729352,3.18437102729352,0.524746968022503,2.34773668675814,2.45934112016105,2.60370948724735,2.85688610089694,3.18437102729352,3.60913323028269,3.94751931889847,4.14918906763971,4.33164058717084
"82","Irongate_large","NCA",1978,1979,11,190680,4,2.55979848172604,2.55979848172604,0.412725366837612,1.88226597057771,1.97397985078321,2.0940946251089,2.30711281122866,2.55979848172604,2.85335584451426,3.11959743054939,3.30395090308946,3.42328257961552
"83","Irongate_large","NCA",1979,1980,11,182000,4,2.49624061625087,2.49624061625087,0.389358375665961,1.81286851672213,1.89838382587288,2.02529923145646,2.24627534495106,2.49624061625087,2.76597597852373,3.01021904744052,3.18807887539865,3.3248794097447
"84","Irongate_large","NCA",1980,1981,10,87450,5,2.41138227714357,2.41138227714357,0.369699195399514,1.79103047123092,1.8495066372595,1.96723186163243,2.16938998294696,2.41138227714357,2.68354155313584,2.92989123222265,3.06734910963576,3.19855612644493
"85","Irongate_large","NCA",1981,1982,11,121752,4,2.65486658640728,2.65486658640728,0.413899060154482,1.88243794393558,2.02126655869392,2.15180893861885,2.40573615305773,2.65486658640728,2.93791270673805,3.2029057612935,3.34813693635839,3.55118612589266
"86","Irongate_large","NCA",1982,1983,11,160175,4,2.48705413249852,2.48705413249852,0.394733415613071,1.8143261129007,1.88210097749863,2.03135341256997,2.22496143937364,2.48705413249852,2.76868230453407,3.04517318838056,3.18391434162321,3.31158826350941
"87","Irongate_large","NCA",1983,1984,11,189658,4,2.58987004821412,2.58987004821412,0.390777995670167,1.91724561413898,2.03729445707571,2.13157338097461,2.35495649177545,2.58987004821412,2.87985216236131,3.15996293959816,3.26961088226505,3.45455359217379
"88","Irongate_large","NCA",1984,1985,10.5,122775,4.5,2.46842188013749,2.46842188013749,0.336052499387966,1.86068256068136,1.9589341016411,2.02828748642887,2.2415859895674,2.46842188013749,2.70940015674767,2.90977293755833,3.00678415257578,3.15741249626494
"89","Irongate_large","NCA",1985,1986,11,119739,4,2.52090815673232,2.52090815673232,0.41184785606541,1.79167447517139,1.89294428597976,2.02699254334682,2.27759175610008,2.52090815673232,2.82122116526742,3.06760529378155,3.28312495251142,3.43870822797059
"90","Irongate_large","NCA",1986,1987,11,121570,4,2.67894434053586,2.67894434053586,0.411227185620309,1.98252490789649,2.08002552573575,2.18552589148445,2.40561475286047,2.67894434053586,2.94797117765859,3.25744972163859,3.45153744271645,3.63491988299498
"91","Irongate_large","NCA",1987,1988,10,96000,5,2.52653416925885,2.52653416925885,0.378767862662397,1.91496780317045,1.9704358147117,2.0832392016636,2.29216662724967,2.52653416925885,2.79761161270788,3.04253485592888,3.25974177118671,3.372756331344
"92","Irongate_large","NCA",1988,1989,11,98283,4,2.9935711480544,2.9935711480544,0.467716494158636,2.18873550893059,2.3439057606498,2.47965398299936,2.68363748197664,2.9935711480544,3.3258101452545,3.65601400736027,3.80698879538313,3.96259354794745
"93","Irongate_large","NCA",1990,1991,11,95880,4,2.59616106812365,2.59616106812365,0.372393273583969,1.88696581964971,1.97975623989011,2.14185149899118,2.3381508518348,2.59616106812365,2.8563263632884,3.08239569963218,3.20896944851324,3.3698967729962
"94","Irongate_large","NCA",1991,1992,11,88976,4,2.65826085930219,2.65826085930219,0.415062735408043,1.89540475320719,2.05392016886128,2.19998965677456,2.41192565184532,2.65826085930219,2.93960472201288,3.27563077971056,3.47175567938039,3.59369499354501
"95","Irongate_large","NCA",1992,1993,11,74024,4,2.66360052657825,2.66360052657825,0.42947104080378,1.90441191092776,1.99841128577732,2.11733400351184,2.39201418388136,2.66360052657825,2.96712404472922,3.24033853893136,3.45056026789736,3.57775459107296
"96","Irongate_large","NCA",1994,1995,11,86564,4,2.68691196019348,2.68691196019348,0.414349725308864,1.94048815435838,2.07108925218519,2.19814644226611,2.41961877842662,2.68691196019348,2.94033411605855,3.21329077682493,3.47904266193593,3.62772574089232
"97","Irongate_large","NCA",1995,1996,11,93172,4,2.50135079975333,2.50135079975333,0.387003445049439,1.80606438295306,1.90977453667909,2.04096839242253,2.24160418711342,2.50135079975333,2.77116463401873,3.03217302047458,3.15147535051411,3.32315445978156
"98","Irongate_large","NCA",1996,1997,11,190792,4,2.7173009582339,2.7173009582339,0.444559044760436,1.9528113868417,2.08953549506081,2.20835790279456,2.44885175738436,2.7173009582339,3.05834533953865,3.37283205596304,3.56821552808232,3.67981506789824
"99","Irongate_large","NCA",1999,2000,11,91220,4,2.56821266750036,2.56821266750036,0.382591079606211,1.96921484890049,2.0300775493602,2.13220456087652,2.32100606188968,2.56821266750036,2.85477703303218,3.09948862515668,3.26977832477719,3.40021281327519
