Fishery,Year,Vessel Name ,ADFG ,USCG ,AFA ,Inshore ,Co-op ,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,COLUMBIA,39056,615729,1228,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,COMMODORE,53843,914214,2657,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,DEFENDER,56676,554030,3257,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,DESTINATION,60655,571879,3988,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,DOMINATOR,08668,602309,411,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,DONA MARTITA,51672,651751,2047,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ELIZABETH F,14767,526037,823,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,EXCALIBUR II,54653,636602,410,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,EXODUS,33112,598666,1249,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,FIERCE ALLEGIANCE,55111,588849,4133,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,FORUM STAR,59687,925863,4245,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GLADIATOR,32473,598380,1318,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GOLD RUSH,40309,521106,1868,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GOLDEN DAWN,35687,604315,1292,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GOLDEN PISCES,32817,599585,586,AKUTAN,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GREAT PACIFIC,37660,608458,511,UNALASKA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,GUN-MAR,41312,640130,425,UNISEA,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,HALF MOON BAY,39230,615796,249,NORTHERN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,HAZEL LORRAINE,57117,592211,523,AKUTAN,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,HICKORY WIND,47795,594154,993,WESTWARD,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,INTREPID EXPLORER,64105,988598,4993,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,LESLIE LEE,56119,584873,1234,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,LISA MELINDA,41520,584360,4506,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MAJESTY,60650,962718,3996,AKUTAN,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MAR-GUN,12110,525608,524,UNISEA,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MARCY J,00055,517024,2142,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MARGARET LYN,31672,615563,723,AKUTAN,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MARK I,06440,509552,1242,OPEN ACCESS,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MESSIAH,66196,610150,6081,UNALASKA,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MISS BERDIE,59123,913277,3679,NORTHERN,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MISTY DAWN,68858,926647,5946,OPEN ACCESS,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MORNING STAR,38431,610393,208,UNALASKA,,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MORNING STAR,41009,618797,7270,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MORNING STAR,70323,1037811,6204,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MS AMY,56164,920936,2904,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,MUIR MILACH,41021,611524,480,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NEAHKAHNIE,32858,599534,424,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NORDIC EXPLORER,51092,678234,3009,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NORDIC FURY,00200,542651,1094,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NORDIC STAR,00961,584684,428,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NORTHERN PATRIOT,55153,637744,2769,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,NORTHWEST EXPLORER,36808,609384,3002,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,OCEAN EXPLORER,51073,678236,3011,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,OCEAN HARVESTER,00101,549892,5130,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,OCEAN HOPE 3,48173,652397,1623,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,OCEAN LEADER,00032,561518,1229,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,OCEANIC,03404,602279,1667,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC CHALLENGER,06931,518937,657,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC EXPLORER,50759,678237,3010,ARCTIC ENT,102,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC FURY,00033,561934,421,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC KNIGHT,54643,561771,2783,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC MONARCH,54645,557467,2785,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC PRINCE,61450,697280,4194,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC RAM,61792,589115,4305,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PACIFIC VIKING,00047,555058,422,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PEGASUS,57149,565120,1265,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PEGGY JO,09200,502779,979,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PERSEVERANCE,12668,536873,2837,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,POPADO II,55512,536161,2087,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,POSEIDON,37036,610436,1164,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PREDATOR,33744,547390,1275,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PROGRESS,00006,565349,512,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,PROVIDIAN,70709,1062183,6308,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,RAVEN,56395,629499,1236,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ROYAL AMERICAN,40840,624371,543,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,ROYAL ATLANTIC,00046,559271,236,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SEA STORM,40969,628959,420,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SEA WOLF,35957,609823,1652,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SEADAWN,00077,548685,2059,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SEEKER,59476,924585,2849,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SOVEREIGNTY,55199,651752,2770,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,STAR FISH,00012,561651,1167,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,STARLITE,34931,597065,1998,UNISEA,106,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,STARWARD,39197,617807,417,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,STORM PETREL,39860,620769,1641,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,SUNSET BAY,35527,598484,251,NORTHERN,103,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,TOPAZ,40250,575428,405,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,TRACY ANNE,54654,904859,2823,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,TRAVELER,58821,929356,3404,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,VANGUARD,39946,617802,519,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,VESTERAALEN,38342,611642,517,OPEN ACCESS,0,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,VIKING,00008,565017,1222,WESTWARD,107,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,VIKING EXPLORER,36045,605228,1116,AKUTAN,101,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,WALTER N,34919,257365,825,PETER PAN,104,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,WESTERN DAWN,22294,524423,134,UNALASKA,105,,,,,,,,,,,,,,,,,,
Bering Pollock,2004,WESTWARD I,53247,615165,1650,WESTWARD,107,,,,,,,,,,,,,,,,,,
