Fishery,Year,Participant type,Vessel_name,ADF&G / USCG ,FFP/FPP Number ,AFA Permit Number ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,CV ,INTREPID EXPLORER ,64`105/88598 ,4993 ,4993 ,,,,,,,,,,,,,,,
Aleutian Pollock,2008,Shoreside Processor ,Adak Fisheries LLC ,27101 ,,,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,BRISTOL EXPLORER ,55923/647985 ,3007 ,3007 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,NORTHWEST EXPLORER ,36808/609384 ,3002 ,3002 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,PACIFIC EXPLORER ,50759/678237 ,3010 ,3010 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,OCEAN EXPLORER ,81073/678236 ,3011 ,3011 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,INTREPID EXPLORER ,64105/988598 ,4993 ,4993 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,PACIFIC VIKING ,00047 /555058 ,422 ,422 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CV ,MAJESTY ,60650/962718 ,3996 ,3996 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,CP ,KATIE ANN ,55301/518441 ,1996 ,1996 ,,,,,,,,,,,,,,,
Aleutian Pollock,2009,Shoreside Processor ,Adak Fisheries LLC ,27101 ,,,,,,,,,,,,,,,,,
Aleutian Pollock,2010,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2010,CP ,KATIE ANN ,55301/518441 ,1996 ,1996,,,,,,,,,,,,,,,
Aleutian Pollock,2013,CV ,MUIR Mll..ACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2013,Shoreside Processor ,Icicle Seafoods -Adak ,n/a ,32387 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2014,CV ,MUIR MILACH ,41021 / 615524 ,480 ,480 ,,,,,,,,,,,,,,,
Aleutian Pollock,2014,Shoreside Processor ,Adak Cod Cooperative ,n/a ,33575 ,n/a ,,,,,,,,,,,,,,,
Aleutian Pollock,2015,CP ,OCEAN PEACE ,55767 / 677399 ,2134 ,2134 ,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
